index,pub_id
0,US7935007B1
1,US8215922B2
2,US8150246B1
3,US7828974B2
4,US8324496B1
5,US8133102B2
6,US7608516B2
7,US8205340B2
8,US8203702B1
9,USD609225S1
10,US7802159B1
11,US7754951B2
12,US7631787B1
13,US7567466B2
14,US8097284B2
15,US8236149B2
16,US8161505B2
17,US8122617B1
18,US7902204B2
19,USD602615S1
20,US8004821B2
21,US7840447B2
22,US8293291B2
23,US8244655B2
24,US7726680B2
25,US8254284B2
26,US8075398B2
27,US8035560B1
28,US8318485B2
29,US8087572B2
30,US7664666B2
31,US7757857B2
32,USD588991S1
33,US8116993B2
34,US7731378B2
35,US8298659B2
36,US7824061B1
37,US8145306B2
38,US7795697B2
39,US7955081B2
40,US7712838B2
41,US8044136B2
42,USD594233S1
43,USD600483S1
44,US7631051B1
45,US7684645B2
46,US8267025B2
47,US8179323B2
48,US8000399B2
49,US7735277B1
50,USD592204S1
51,US7757585B2
52,US7668432B2
53,US7900940B1
54,USD586930S1
55,US8039660B2
56,US7861510B1
57,US8060446B2
58,US7935271B2
59,US8095099B2
60,US8195553B2
61,US7665280B2
62,US8273561B2
63,US7957980B2
64,US8035320B2
65,US8209618B2
66,US7855476B2
67,US7619123B2
68,US7591096B2
69,US8205934B2
70,US7744844B2
71,US11049083B2
72,US8152019B1
73,US7689651B2
74,US8111148B2
75,US8176738B2
76,US7979653B2
77,US8010395B2
78,US7631473B2
79,US8141846B2
80,US7936552B2
81,USD604994S1
82,US7855649B2
83,US7796917B2
84,US7966765B2
85,US8267601B2
86,US8258749B2
87,US8066149B2
88,US7928660B2
89,USD610433S1
90,US7879020B1
91,US7900644B2
92,US8209023B2
93,US7998727B2
94,US7649116B1
95,US7690148B2
96,US7731932B2
97,US7946355B1
98,US8102793B2
99,US7909112B2
100,US7959806B2
101,US8121696B2
102,USD616449S1
103,USD603062S1
104,US7815797B1
105,US8236239B2
106,USD613417S1
107,US7916090B2
108,US8133709B2
109,US8000103B2
110,US7790813B2
111,US8117105B2
112,US7597566B2
113,US7962293B2
114,US8089024B2
115,US7837338B2
116,US7637368B2
117,US8082025B2
118,US8224794B2
119,US8202579B2
120,US7884766B2
121,US8230375B2
122,US10236032B2
123,USD600105S1
124,US7922366B2
125,US8184003B1
126,US8163496B2
127,US7579701B1
128,US7935876B1
129,USD605794S1
130,US8240599B2
131,US8119696B2
132,US7909275B2
133,USD600469S1
134,US8105077B2
135,US7731852B2
136,US10003701B2
137,US8114605B1
138,US8306272B2
139,US7951062B2
140,US7871609B2
141,US7635784B2
142,US7815263B1
143,US7882864B2
144,US7804252B2
145,US8312987B2
146,US7536741B1
147,US8273782B2
148,US8245878B2
149,US7833765B2
150,USD612823S1
151,US7812356B2
152,USD579027S1
153,US7554870B2
154,US7786877B2
155,USD600685S1
156,US8174121B2
157,US8155032B2
158,USD611742S1
159,US7830677B2
160,US8096025B2
161,USD601552S1
162,US8112698B2
163,US7932498B2
164,US8021523B2
165,US8006594B2
166,US8087892B1
167,US8118657B2
168,US7740400B2
169,US8116520B2
170,US7896518B2
171,US8051766B1
172,US7720627B1
173,US8291587B2
174,US7614611B1
175,US8294030B2
176,US8243068B2
177,US7628181B2
178,US8228993B2
179,US7947536B2
180,US7913649B2
181,US7927040B2
182,USD610958S1
183,US7728679B2
184,US7628200B2
185,US8115302B2
186,US7862115B1
187,USD596063S1
188,US7675780B2
189,US8145583B2
190,US7939705B2
191,US7753111B1
192,US7761113B2
193,US7837152B2
194,US7673006B2
195,US7955641B2
196,USD585795S1
197,US8155757B1
198,US8321525B2
199,US8303851B2
200,US7723443B1
201,USD595181S1
202,US8063399B2
203,US7825066B1
